Year,Venue,Authors,Title,Tags,P,E,N
# ## Photonic computing
# Solution: Uses light (photons) instead of electricity (electrons) to perform calculations and process information. It leverages the unique properties of light; such as its speed and parallelism; to achieve high-performance computing.
2021,Nature,Swinburne,11 TOPS photonic convolutional accelerator for optical neural networks,universal optical convolutional accelerator for vector processing,,,
2025,arXiv,ASU,H3PIMAP: A Heterogeneity-Aware Multi-Objective DNN Mapping Framework on Electronic-Photonic Processing-in-Memory Architectures,Electronic-Photonic-PIM Accelerator; coresponding mapping framework and evaluation infrastructure,,,

# ## Computational Sprinting
# Solution: Leverages chip's thermal budget to enable brief, massively parallel "sprints" on otherwise dark silicon, in order to dramatically accelerate transient workloads and improve application responsiveness.
2012,HPCA,UPenn,Computational Sprinting,phase-change materials based thermal design; gradual core activation; sprint activation and deactivation strategy,3,3,3
2018,EuroSys,OSU,Model-Driven Computational Sprinting,timeout-aware queue simulator; random decision forest based effective sprint rate calculation,3,4,2
2019,MICRO,DUKE,DynaSprint: Microarchitectural Sprints with Dynamic Utility and Thermal Management,phase predictor and classifier; cache sprinting architecture; sprint thermal tracker,4,4,2
